student_id,name,age,gender,attendance,internal_marks,assignment_marks,quiz_marks,study_hours_per_day,previous_semester_marks,participation,internet_access,parent_education,final_exam_marks
STU1000,Student_1,22,Male,84.5,32.5,27.0,8.5,3.0,58.5,Medium,Yes,Doctorate,46.7
STU1001,Student_2,19,Female,83.1,34.5,34.0,31.3,2.9,84.1,High,Yes,Post Graduate,65.9
STU1002,Student_3,19,Male,74.6,37.8,7.8,29.7,4.3,47.5,Low,Yes,Graduate,37.5
STU1003,Student_4,20,Male,62.7,46.2,25.1,42.8,3.7,54.2,Medium,Yes,High School,57.1
STU1004,Student_5,18,Male,84.2,62.5,60.3,64.2,6.6,100.0,Medium,Yes,High School,82.4
STU1005,Student_6,18,Female,68.0,40.8,27.4,24.5,1.9,49.4,High,Yes,Post Graduate,48.4
STU1006,Student_7,19,Male,100.0,17.7,31.8,21.4,4.0,44.7,High,Yes,Graduate,43.4
STU1007,Student_8,18,Male,84.8,28.4,28.8,23.8,2.4,76.0,Low,Yes,High School,33.0
STU1008,Student_9,19,Male,71.0,26.1,10.0,20.0,1.9,33.8,Medium,Yes,High School,27.8
STU1009,Student_10,21,Female,70.7,36.3,42.2,37.5,3.2,61.5,Low,Yes,High School,56.7
STU1010,Student_11,20,Male,76.9,59.6,37.5,46.3,3.4,97.2,Medium,Yes,Graduate,67.9
STU1011,Student_12,17,Male,75.1,39.4,36.6,33.6,7.6,41.8,Low,Yes,Post Graduate,56.6
STU1012,Student_13,20,Male,91.4,15.9,21.2,28.0,2.9,35.3,Medium,Yes,High School,43.3
STU1013,Student_14,19,Male,80.2,19.8,33.2,22.6,1.5,42.5,Medium,Yes,High School,49.8
STU1014,Student_15,19,Female,69.2,29.9,46.2,28.3,3.6,78.5,Medium,No,High School,61.9
STU1015,Student_16,20,Male,100.0,24.0,16.0,17.9,0.1,81.9,Medium,No,Doctorate,42.7
STU1016,Student_17,22,Female,78.6,40.0,15.9,35.8,3.1,57.3,Medium,Yes,High School,37.5
STU1017,Student_18,19,Female,87.2,46.7,40.1,33.2,3.2,75.2,Medium,Yes,Post Graduate,77.4
STU1018,Student_19,18,Female,70.7,50.5,40.4,57.7,4.4,85.9,Low,No,Graduate,77.8
STU1019,Student_20,18,Male,82.4,37.1,39.3,50.9,4.7,91.8,High,Yes,Graduate,72.7
STU1020,Student_21,19,Female,81.7,28.9,37.6,23.6,2.4,61.3,Low,Yes,High School,37.6
STU1021,Student_22,19,Male,55.3,11.4,20.0,21.1,3.0,30.5,Medium,Yes,High School,38.4
STU1022,Student_23,22,Female,100.0,36.8,24.2,24.8,2.1,52.7,Medium,Yes,Graduate,48.4
STU1023,Student_24,18,Female,93.5,23.3,32.1,17.0,1.5,58.6,Medium,Yes,Post Graduate,47.3
STU1024,Student_25,19,Female,73.2,26.9,26.9,24.9,3.7,61.1,Low,Yes,Graduate,52.5
STU1025,Student_26,19,Female,64.8,29.0,40.7,30.2,1.3,62.2,Medium,Yes,Graduate,50.1
STU1026,Student_27,22,Female,82.2,35.4,27.2,42.5,2.6,81.8,High,Yes,High School,52.3
STU1027,Student_28,22,Female,79.0,50.6,40.3,37.5,1.7,84.1,Medium,Yes,Doctorate,62.2
STU1028,Student_29,20,Female,82.3,31.1,46.2,48.4,4.0,62.4,Medium,Yes,Post Graduate,65.2
STU1029,Student_30,22,Female,80.3,39.1,29.5,43.2,5.9,81.5,Medium,Yes,High School,67.0
STU1030,Student_31,17,Male,84.1,14.5,24.2,41.0,1.2,70.4,Low,Yes,Doctorate,49.7
STU1031,Student_32,18,Male,95.4,27.4,35.5,13.3,0.4,66.0,Medium,No,Graduate,50.2
STU1032,Student_33,20,Female,84.8,35.9,46.6,26.5,3.0,78.6,High,Yes,Graduate,60.1
STU1033,Student_34,17,Female,65.4,24.6,29.4,16.8,3.2,66.1,Low,Yes,Post Graduate,48.4
STU1034,Student_35,19,Female,94.4,58.4,35.0,38.8,3.5,95.9,Low,Yes,Post Graduate,48.9
STU1035,Student_36,19,Male,97.7,30.2,31.0,18.5,2.5,43.4,Low,Yes,Graduate,40.4
STU1036,Student_37,20,Female,100.0,31.4,39.1,33.5,2.9,57.3,Medium,Yes,High School,56.9
STU1037,Student_38,22,Male,64.5,47.6,19.9,36.3,3.8,63.1,High,Yes,High School,53.4
STU1038,Student_39,19,Male,80.9,48.3,25.0,29.9,4.8,71.6,Low,Yes,Doctorate,57.7
STU1039,Student_40,21,Male,53.0,27.9,32.4,22.9,0.3,84.0,Medium,Yes,High School,39.5
STU1040,Student_41,20,Male,84.6,25.3,35.4,26.4,2.6,64.6,Low,Yes,Graduate,54.2
STU1041,Student_42,17,Male,71.4,34.5,21.1,11.1,3.5,43.7,High,Yes,Graduate,50.1
STU1042,Student_43,20,Female,100.0,39.6,38.5,21.7,1.8,77.6,Low,Yes,Graduate,58.9
STU1043,Student_44,18,Female,68.7,49.3,34.1,39.2,5.8,76.3,Medium,Yes,Graduate,55.0
STU1044,Student_45,22,Female,57.7,14.2,0.0,32.5,2.2,35.9,Medium,Yes,Doctorate,35.9
